PC1,PC2,PC3,PC4,PC5
1.8197371,-0.3616879,1.5509021,-1.0008063,1.7344539
1.907836,-0.2802708,1.388106,-0.9141857,1.1601546
1.6942732,-0.23486328,1.475554,-0.9717847,1.2914116
1.433125,-0.19261634,1.6317163,-1.080897,1.5739119
1.7948818,-0.3575685,1.5616981,-1.0033144,1.933326
1.9669373,-0.32146084,1.4071336,-0.90803844,1.4183495
2.061969,-0.27189517,1.2618858,-0.83497036,0.860626
1.9819622,-0.19618046,1.2090888,-0.8263495,0.5413219
1.6116521,-0.13156617,1.3501823,-0.9348306,0.8119683
1.6990843,-0.33271122,1.5986527,-1.0324593,2.0880995
2.0447323,-0.292405,1.2896969,-0.8386761,1.2167335
2.140222,-0.21099102,1.1179668,-0.7464561,0.5299444
1.9314775,-0.16690755,1.1698884,-0.810794,0.4934783
1.5867345,-0.11957216,1.2990607,-0.9200198,0.68268096
1.916496,-0.2935449,1.3720398,-0.8908068,1.5417395
2.096357,-0.22650063,1.1665843,-0.7699703,0.74043536
1.8827205,-0.17304623,1.1978533,-0.8264239,0.56789255
1.5066113,-0.101883054,1.3217437,-0.9419152,0.7157197
1.7120295,-0.30431736,1.5353208,-0.98924804,2.0971386
2.011546,-0.28911817,1.3075674,-0.8529355,1.3212724
2.0083845,-0.20989048,1.2154065,-0.8143394,0.6594659
1.6331525,-0.120538354,1.2973335,-0.91135323,0.5943302
1.2123582,-0.007835269,1.3937074,-1.0172572,0.757638
0.98248416,-0.017621756,1.7090583,-1.0753598,1.456028
1.0405321,-0.036504388,1.674078,-1.056918,1.4118176
1.8988295,-0.28557217,1.4043249,-0.90040284,1.8296478
2.133223,-0.27342284,1.2588961,-0.82670134,1.0706091
1.9530659,-0.2163459,1.2889123,-0.8729464,0.6199428
1.4371868,-0.06743944,1.3857876,-0.983256,0.5574496
0.99446756,0.09777129,1.4108405,-1.0538191,0.6091474
1.3127594,-0.41460037,1.8999479,-1.2097464,2.4369676
1.3493781,-0.3860494,1.8193471,-1.1650677,2.2353158
2.0299275,-0.20472825,1.2219805,-0.76635575,1.3397112
2.278483,-0.18671429,1.1347117,-0.7756704,0.512539
1.9251245,-0.20327461,1.3312,-0.89756006,0.56850123
1.3458724,-0.043457747,1.4555737,-1.0213443,0.55308485
0.9535846,0.10044038,1.4523482,-1.0777558,0.5716933
0.7930295,0.17101228,1.4329735,-1.075181,0.7516421
2.0066016,-0.1269542,1.1538697,-0.69111055,1.0968707
2.2648885,-0.14880598,1.0864682,-0.7023179,0.40020847
1.9610488,-0.17315686,1.3203053,-0.857574,0.48180926
1.3703947,-0.03866279,1.4836221,-0.9963242,0.518149
0.974376,0.08332682,1.5101727,-1.071233,0.56794226
0.7545477,0.18383014,1.4635768,-1.0788418,0.6353389
0.64783317,0.24882567,1.4263575,-1.0463004,0.74653876
1.8210703,-0.092906356,1.2389783,-0.713747,1.2226398
2.142894,-0.11748171,1.1235527,-0.6564479,0.58944046
1.9700863,-0.1273371,1.2836367,-0.7804066,0.36638284
1.3826666,0.013779759,1.4780209,-0.9342124,0.4398743
0.8961163,0.14017582,1.5327528,-1.042888,0.5009161
0.63413745,0.242571,1.4811331,-1.0631137,0.54956126
0.54623973,0.31432188,1.4174011,-1.0233849,0.5911983
0.43014562,0.31071126,1.4735074,-1.024022,0.8750913
1.7459204,-0.011538029,1.1867386,-0.63077104,1.0062053
2.1503356,-0.009652138,1.0389192,-0.5504024,0.24828076
1.977474,-0.03644836,1.2075422,-0.66865563,0.1561302
1.3647784,0.08031249,1.4351223,-0.84127295,0.32772148
0.80647075,0.20537937,1.5270357,-0.981552,0.44682837
0.5246543,0.30047762,1.4911004,-1.019039,0.5080416
0.3811609,0.37001383,1.4535539,-0.9971153,0.62856793
1.8446012,0.055702567,1.0471725,-0.5660027,0.62018263
1.8082584,0.08670223,1.0312573,-0.5737749,0.26714134
1.410018,0.16498888,1.1293042,-0.6743891,0.37415242
1.9513944,0.08604205,1.0562525,-0.47807765,0.35740423
1.9480078,0.043444633,1.1783036,-0.57910854,0.10565829
1.3568021,0.13101244,1.4154689,-0.768116,0.26325023
0.78556806,0.2426405,1.5428855,-0.91956514,0.44240987
0.4598379,0.334602,1.5056322,-0.9749184,0.48562825
0.2896573,0.41620743,1.4633836,-0.96135485,0.582206
